Таблица для заполнения Новая;;;;
;;ед.изм;кол-во;
Площадь застройки дома(наружные габариты);;кв.м;;
Жилая площадь дома(без учета сауны);;кв.м;;
Высота чистового потолка;;м;;
;;;;
Утепление пола 150мм;;кв.м;;
Утепление пола 200мм;;кв.м;;
Утепление пола 250мм;;кв.м;;
Чистовое покрытие пола - ламинат;;кв.м;;
Чистовое покрытие пола - керамогранит;;кв.м;;
;;;;
;;;;
Погонные метры наружного фасада(доска/брусок, планкен);;м.п.;;
;;;;
;;;;
Погонные метры сдвоенных перегородок(200мм);;м.п.;;
Погонные метры одинарных перегородок(100мм);;м.п.;;
;;;;
"Интерьерная доска ""в четверть""";;м.п.;;
Отделка ЛДСП плитами;;м.п.;;
Отделка ГКЛ в 2 слоя с покраской;;м.п.;;
Отделка МДФ панелями;;м.п.;;
Отделка Фанера/рейка;;м.п.;;
Отделка стен санузла керамогранитом;;м.п.;;
;;;;
Кровля двускатная;;кв.м;;
Кровля плоская;;кв.м;;
;;;;
Двери межкомнатные с комплектом доборных элементов;;шт;;
Сауна;;рубли;;
Монтаж сауны, печи;;рубли;;
Окна;;шт;;
Стоимость окон;;рубли;;
Большие панорамные секции (более 5 кв.м);;шт;;
Стоимость больших панорамных секций;;шт;;
Количество санузлов;;шт;;
Наполнение санузлов;;;ЗАПОЛНИ ВКЛАДКУ №2 !!!;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
