object,version,sheet_types,sheets_n,area_total_m2,area_living_m2,room_counts,rooms,sources
,в1,планировка,5,150.2,150.2,"гостиная:2, кухня:2, прихожая:1, санузел:3, сауна:1, спальня:3",Спальня 17.49м²; Кухня 10.67м²; Гостиная 28.74м²; Санузел 3.55м²; Прихожая 5.55м²; санузел 3.75м²; кухня 6.4м²; коридор 6.3м²; спальня 13.57м²; столовая 43.57м²; Комната отдыха с душевой 6.62м²; Парная 4.03м²; кухня-гостиная; спальня; санузел,"2024\Анна Лесное Озеро\В1.pdf (стр.1) | 2024\Для Юры\В1.pdf (стр.1) | 2024\Хозблоки, сауны итп\САУНА\В1.pdf (стр.1) | 2024\Хозблоки, сауны итп\Хозблок модель с баней\В1.pdf (стр.1) | 2024\Юлия Ломоносовский\В1.pdf (стр.1)"
,в2,планировка,1,0.0,0.0,"гостиная:1, санузел:1, спальня:1",кухня-гостиная; спальня; санузел,2024\Юлия Ломоносовский\В2.pdf (стр.1)
,в3,планировка,2,0.0,0.0,"гостиная:1, санузел:1, спальня:1",Парилка; Моечная; Помещение для отдыха; кухня-гостиная; санузел; спальня,2024\Баня Байкал\В3.pdf (стр.1) | 2024\Юлия Ломоносовский\В3.pdf (стр.1)
,в4,планировка,2,71.9,54.9,"гостиная:1, сауна:1, терраса:1",Парная 16.24м²; Помывочное помещение 8.28м²; Массажный кабинет 6.27м²; Кухня-Гостиная 16.33м²; Тамбур 7.79м²; Терраса 16.96м²,2024\Баня Байкал\В4.pdf (стр.1) | 2024\Юлия Ломоносовский\В4.pdf (стр.1)
,в5,планировка,2,71.9,54.9,"гостиная:2, санузел:2, сауна:1, спальня:1, терраса:1",кухня-гостиная; спальня; ванная; санузел; Парная 16.24м²; Помывочное помещение 8.28м²; Массажный кабинет 6.27м²; Кухня-Гостиная 16.33м²; Тамбур 7.79м²; Терраса 16.96м²,2024\Анна Лесное Озеро\В5.pdf (стр.1) | 2024\Баня Байкал\В5.pdf (стр.1)
,в6,планировка,1,72.6,55.6,"гостиная:1, санузел:1, сауна:1, терраса:1",Парная 16.24м²; Помывочное помещение 8.56м²; Массажный кабинет 5.5м²; Кухня-Гостиная 16.33м²; Тамбур 7.79м²; С/У 1.21м²; Терраса 16.96м²,2024\Баня Байкал\В6.pdf (стр.1)
,в7,,1,0.0,0.0,,,2024\Баня Байкал\В7.pdf (стр.1)
00001,,планировка,1,49.4,49.4,"гостиная:1, кухня:1, санузел:1, спальня:1",гостиная 23.57м²; кухня 5.13м²; спальня 9.08м²; ванная 4.26м²; коридор 7.31м²,Планировки\Lampi 4\00001.pdf (стр.1)
001,,планировка,1,155.3,155.3,"гостиная:1, кухня:1, прихожая:3, санузел:2, сауна:1, спальня:2",гостиная 28.2м²; кухня - столовая 28.2м²; кабинет 7.8м²; прихожая 8.1м²; гостевой туалет 5.2м²; постирочная 7.0м²; ванная 10.2м²; сауна 2.8м²; спальня сына 13.2м²; гардеробная 7.0м²; гостевая комната 10.5м²; спальня хозяев 10.8м²; холл 13.9м²; холл 2.4м²,2025\Планировки\Вводные\001.pdf (стр.1)
0мд гараж,в1,планировка,1,47.2,0.0,,Гараж 1 23.58м²; Гараж 1 23.58м²,2026\Планировки\Юра\0МД Гараж В1.pdf (стр.1)
