path,name,sha256,size_mb,pages,producer,creator,error
D:\Общая_Рабочая\2024\2 Этажа\1.pdf,1.pdf,b0d4e29dfc348e96,0.02,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\2 Этажа планы.pdf,2 Этажа планы.pdf,309068f2e5f08aa4,0.28,3,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.10.100.100),
D:\Общая_Рабочая\2024\2 Этажа\2.pdf,2.pdf,014ee76fa49bba8f,0.14,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\итоговые чертежи\Проект 2 этажа (изм. от 18.12.24).pdf,Проект 2 этажа (изм. от 18.12.24).pdf,589b525f0c5f27b2,17.8,93,"PDFTron PDFNet, V9.20793",Adobe Acrobat Pro (64-bit) 23.1.20143,
D:\Общая_Рабочая\2024\2 Этажа\Кассеты\Проба-2эт-ЛО-1.pdf,Проба-2эт-ЛО-1.pdf,3e36de5fe1e3e689,0.29,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Кассеты\Проба-2эт-ЛО-2.pdf,Проба-2эт-ЛО-2.pdf,c5be1c178dc574a5,0.28,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Кассеты\Проба-2эт-ЛО-3.pdf,Проба-2эт-ЛО-3.pdf,66199ac37dcf3d2b,0.28,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Кассеты\Проба-2эт-Планка-1.pdf,Проба-2эт-Планка-1.pdf,a0c81a8135835ed1,0.28,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Кассеты\Проба-2эт-Планка-2.pdf,Проба-2эт-Планка-2.pdf,be9abce2fc134d53,0.28,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Кассеты\Проба-2эт-Планка-3.pdf,Проба-2эт-Планка-3.pdf,1ffdd195e79d5e3d,0.28,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Кассеты\Проба-2эт-Планка-4.pdf,Проба-2эт-Планка-4.pdf,e7bbfaa99c11cdac,0.28,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\2 Этажа\Кассеты\Проба-2эт-Планка-5.pdf,Проба-2эт-Планка-5.pdf,24be41d31ca3d0a4,0.28,1,Microsoft: Print To PDF,,
