object,version,sheet_type,title,path,page,area_total_m2,area_living_m2,room_counts,rooms
,в1,планировка,Лесное Озеро Анна,2024\Анна Лесное Озеро\В1.pdf,1,66.0,66.0,"гостиная:1, кухня:1, прихожая:1, санузел:1, спальня:1",Спальня 17.49м²; Кухня 10.67м²; Гостиная 28.74м²; Санузел 3.55м²; Прихожая 5.55м²
,в1,планировка,,2024\Для Юры\В1.pdf,1,73.6,73.6,"кухня:1, санузел:1, спальня:1",санузел 3.75м²; кухня 6.4м²; коридор 6.3м²; спальня 13.57м²; столовая 43.57м²
,в1,планировка,Сауна,"2024\Хозблоки, сауны итп\САУНА\В1.pdf",1,0.0,0.0,,
,в1,планировка,Хозблок модель с парной,"2024\Хозблоки, сауны итп\Хозблок модель с баней\В1.pdf",1,10.7,10.7,сауна:1,Комната отдыха с душевой 6.62м²; Парная 4.03м²
,в1,планировка,Проект Ломонсовский (Юлия),2024\Юлия Ломоносовский\В1.pdf,1,0.0,0.0,"гостиная:1, санузел:1, спальня:1",кухня-гостиная; спальня; санузел
,в2,планировка,Проект Ломонсовский (Юлия),2024\Юлия Ломоносовский\В2.pdf,1,0.0,0.0,"гостиная:1, санузел:1, спальня:1",кухня-гостиная; спальня; санузел
,в3,планировка,Баня Байкал,2024\Баня Байкал\В3.pdf,1,0.0,0.0,,Парилка; Моечная; Помещение для отдыха
,в3,планировка,Проект Ломонсовский (Юлия),2024\Юлия Ломоносовский\В3.pdf,1,0.0,0.0,"гостиная:1, санузел:1, спальня:1",кухня-гостиная; санузел; спальня
,в4,планировка,Баня Байкал,2024\Баня Байкал\В4.pdf,1,71.9,54.9,"гостиная:1, сауна:1, терраса:1",Парная 16.24м²; Помывочное помещение 8.28м²; Массажный кабинет 6.27м²; Кухня-Гостиная 16.33м²; Тамбур 7.79м²; Терраса 16.96м²
,в4,,,2024\Юлия Ломоносовский\В4.pdf,1,0.0,0.0,,
,в5,планировка,Лесное Озеро Анна,2024\Анна Лесное Озеро\В5.pdf,1,0.0,0.0,"гостиная:1, санузел:2, спальня:1",кухня-гостиная; спальня; ванная; санузел
,в5,планировка,Баня Байкал,2024\Баня Байкал\В5.pdf,1,71.9,54.9,"гостиная:1, сауна:1, терраса:1",Парная 16.24м²; Помывочное помещение 8.28м²; Массажный кабинет 6.27м²; Кухня-Гостиная 16.33м²; Тамбур 7.79м²; Терраса 16.96м²
,в6,планировка,Баня Байкал,2024\Баня Байкал\В6.pdf,1,72.6,55.6,"гостиная:1, санузел:1, сауна:1, терраса:1",Парная 16.24м²; Помывочное помещение 8.56м²; Массажный кабинет 5.5м²; Кухня-Гостиная 16.33м²; Тамбур 7.79м²; С/У 1.21м²; Терраса 16.96м²
,в7,,,2024\Баня Байкал\В7.pdf,1,0.0,0.0,,
00001,,планировка,,Планировки\Lampi 4\00001.pdf,1,49.4,49.4,"гостиная:1, кухня:1, санузел:1, спальня:1",гостиная 23.57м²; кухня 5.13м²; спальня 9.08м²; ванная 4.26м²; коридор 7.31м²
001,,планировка,план с мебелью и оборудованием план 1 го этажа,2025\Планировки\Вводные\001.pdf,1,155.3,155.3,"гостиная:1, кухня:1, прихожая:3, санузел:2, сауна:1, спальня:2",гостиная 28.2м²; кухня - столовая 28.2м²; кабинет 7.8м²; прихожая 8.1м²; гостевой туалет 5.2м²; постирочная 7.0м²; ванная 10.2м²; сауна 2.8м²; спальня сына 13.2м²; гардеробная 7.0м²; гостевая комната 10.5м²; спальня хозяев 10.8м²; холл 13.9м²; холл 2.4м²
0мд гараж,в1,планировка,0МД Гараж В1,2026\Планировки\Юра\0МД Гараж В1.pdf,1,47.2,0.0,,Гараж 1 23.58м²; Гараж 1 23.58м²
1,,планировка,2 МОДУЛЯ СПАЛЬЯ 2ШТ,Работы Валя\Аля Точка на карте\ФИНАЛИМ ПЛАНИРОВКИ\1.pdf,1,53.8,35.8,"кухня:1, санузел:1, спальня:1, терраса:1",спальня 8.9м²; кухня-столовая 17.5м²; терраса 18.0м²; ванная 3.15м²; коридор 3.25м²; кладовая 3.0м²
1 модуль панорама,в1,планировка,,Планировки\Собрать проект\1 модуль панорама в1.pdf,1,34.2,34.2,"гостиная:1, кухня:1, санузел:1",гостиная 18.0м²; кухня 13.53м²; санузел 2.64м²
"1,5 модуля",в1,планировка,COUNTRY HOUSE,"2025\Дома\Вищневское озеро 9МД и остальное\1,5 МОДУЛЯ\ПЛАНИРОВКИ\1,5 Модуля В1.pdf",1,31.4,21.5,"гостиная:1, санузел:1, терраса:1",Кухня-Гостиная 16.35м²; С/У 5.19м²; Терраса 9.9м²
"1,5 модуля",в2,планировка,COUNTRY HOUSE,"2025\Дома\Вищневское озеро 9МД и остальное\1,5 МОДУЛЯ\ПЛАНИРОВКИ\1,5 Модуля В2.pdf",1,31.4,21.5,"гостиная:1, санузел:1, терраса:1",Кухня-Гостиная 16.35м²; С/У 5.19м²; Терраса 9.9м²
"1,5 модуля в3-ф",,планировка,"1,5МД Вишневское","2025\Дома\Вищневское озеро 9МД и остальное\1,5 МОДУЛЯ\ПЛАНИРОВКИ\1,5 Модуля В3-Ф.pdf",1,21.5,21.5,"гостиная:1, санузел:1",Кухня-Гостиная 16.35м²; С/У 5.19м²
